RT	OFREQ	ON
552.8717949	32	14
640.2424242	4	14
622.8055556	23	8
669.4545455	55	14
630.4736842	25	16
605.0294118	16	4
758.5151515	4	17
599.5833333	11	13
602.6388889	1248	16
666.7	9	11
731.2413793	1	3
615.2222222	92	9
558.2702703	149	7
649.3714286	119	25
597.7647059	620	17
602.0769231	15	5
663.7222222	1205	12
689.6451613	4	15
568.7027027	91	25
643.9714286	14	20
629.9117647	79	12
783.2285714	2	14
649.1142857	28	9
600.2972973	20	12
638.0555556	6	13
547.9444444	205	4
538	135	6
838.2666667	17	14
646.8235294	17	20
554.0810811	45	12
546.974359	34	4
536.5405405	155	16
628.3529412	82	5
777.3030303	2	13
561.6470588	22	7
581.55	4	4
639.483871	34	17
597.2424242	276	15
629.6486486	6	16
621.6666667	4	7
592.45	12	10
587.9428571	105	14
704.9705882	2	12
625.1818182	23	13
661.9393939	4	13
601.275	68	15
626.6060606	5	9
650.4285714	3	8
829.3548387	4	5
660.6410256	249	10
639.34375	2	9
684.9	2	12
564.4571429	17	17
617	122	14
881.4782609	10	9
607.6	240	10
735.2962963	2	5
574.4864865	109	14
605.35	33	9
602.4444444	21	6
701.7027027	3	17
666.0967742	1	6
569.525	134	13
587.7297297	3	15
571.6571429	15	5
626.8333333	69	8
685.1714286	20	14
543.2285714	1760	14
557.2285714	201	3
673.483871	4	19
1004.434783	2	7
645.7428571	24	13
700.6363636	12	10
698.28125	21	15
613.2571429	153	14
670.59375	13	12
702.53125	4	22
623.6944444	56	11
616.5428571	4	15
612.4285714	52	14
655.516129	3	4
608.2702703	33	16
588.0769231	326	6
662.6842105	3	17
606.3783784	373	3
595.7777778	11	11
610.2631579	14	19
791.71875	2	7
591.2285714	78	12
552.8611111	92	11
564.0810811	55	9
704.6129032	2	9
703.8205128	6	12
613.5294118	33	19
566.7714286	8	12
618.5882353	11	15
668.3428571	26	4
670.0277778	36	23
1246.918919	24	8
1353.8	6	6
656.4375	16	7
588.5142857	58	9
636.8823529	139	20
720.1714286	5	9
681.9333333	3	6
599.6486486	32	2
669.7222222	39	16
680.15625	7	7
743.3142857	2	9
540.9714286	48	13
528.575	72	16
576.8055556	70	12
591.4054054	1	12
756.4074074	3	7
557.6111111	22	15
637.1764706	13	15
548.425	775	9
571.1142857	39	5
648.3	10	9
669.1142857	49	9
599.4722222	48	10
577.2222222	2	7
658.2222222	10	11
763.0384615	2	20
690.59375	10	7
533.5384615	22	19
569.5641026	1239	6
594.5	8	9
719.5882353	3	15
556.1470588	38	6
678.1944444	3	14
741.5	10	9
654.9411765	17	9
573.3684211	22	8
745.4074074	0	10
853.3571429	0	7
604.9166667	194	14
585.1428571	453	6
647.6764706	71	15
590.3428571	14	16
612.825	37	8
807.3571429	16	1
561.675	67	12
658.9444444	4	13
622.2285714	17	4
637.34375	14	6
605.4411765	45	13
577.0857143	59	16
790.3913043	7	5
798.8484848	4	4
563.5897436	131	8
579.4054054	25	16
629.7352941	62	13
541.05	83	10
569.4166667	65	8
640.9722222	7	20
715.3783784	6	11
663.4516129	215	24
521.1578947	55	17
579.7352941	15	6
624.5	28	5
803.2	3	13
587.5	100	15
604.2972973	14	12
564.7352941	28	17
583.2	6	12
662.75	2	6
660.3888889	2	4
560.9714286	25	9
652.7878788	7	4
624.75	10	15
586.7142857	96	9
584.9117647	10	19
539.875	113	13
587.5588235	21	10
639.4571429	7	5
750.1666667	2	11
666.1935484	8	7
619.1428571	30	13
617.5757576	2	8
564.1470588	21	6
641.2352941	188	15
728.9428571	26	10
601.7647059	16	9
587.0810811	124	3
570.2	46	9
589.0645161	14	8
657.8333333	61	23
596.8974359	13	7
639.3055556	5	9
594.8974359	197	12
597.3529412	57	13
